
2025/01/06 (13:47:08) | ===> btop++ v.1.3.0
2025/01/06 (13:47:08) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/01/07 (19:28:43) | ===> btop++ v.1.3.0
2025/01/07 (19:28:43) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/01/07 (19:29:16) | ===> btop++ v.1.3.0
2025/01/07 (19:29:16) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/01/07 (19:29:58) | ===> btop++ v.1.3.0
2025/01/07 (19:29:58) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/01/28 (10:53:29) | ===> btop++ v.1.3.0
2025/01/28 (10:53:29) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/01/28 (10:56:06) | ===> btop++ v.1.3.0
2025/01/28 (10:56:06) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/01/28 (10:56:31) | ===> btop++ v.1.3.0
2025/01/28 (10:56:31) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/01/28 (10:57:49) | ===> btop++ v.1.3.0
2025/01/28 (10:57:49) | WARNING: NVML: Failed to get GPU power usage: Not Supported
